Rev_id,Retailer,Division,Category,Department,Product_URL,Brand,Product_Name,Final_Price_after_Discount,Review_Link,Review_Header,Review_Creation_Date,Review_Rating_Score,Review_Text
1,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=991&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Excellent fan for an excellent price ...,24-Apr-18,5,Excellent fan for an excellent price
2,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,I put these fans in my spec houses and everyone...,15-Oct-19,5,I put these fans in my spec houses and everyone likes them.  I like the price and the value.  Buy a longer downtube for vaulted ceilings.
3,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=281&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,5 Star Review,3-Jul-19,5,Rating provided by a verified purchaser
4,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=611&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"Easy to put together, our 3rd purchase  for this...",17-Jan-19,5,"Easy to put together, our 3rd purchase  for this brand so we now have 3 rooms with this fan and we LOVE them!"
5,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=511&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,This fan it was easily to install and it is...,9-Feb-19,5,This fan it was easily to install and it is a beautiful model.
6,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=201&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"Easy to install, quite and cools rooms perfectly, no swaying...",17-Sep-19,5,"Easy to install, quite and cools rooms perfectly, no swaying and lights up rooms very well."
7,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Rating provided by a verified purchaser...,27-Nov-19,5,Rating provided by a verified purchaser
8,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=711&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,I wasn’t expecting to be something wow but definitely it’s...,2-Oct-18,5,I wasn’t expecting to be something wow but definitely it’s worth the money.
9,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=301&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"Nice-looking fan, L.E.D. lights are wonderfully bright compared to our...",25-Jun-19,5,"Nice-looking fan, L.E.D. lights are wonderfully bright compared to our old fan which used 60w bulbs. Runs very quietly, don't even realize it's on other than the breeze.  By the way, I did not install it myself, had the electrician do it, took him 15 minutes and that included putting this new one together and taking the old one down and neatly packing it."
10,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=771&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Great fan moves lots of air and it was a breeze to assemble and install.   I liked it so much I b...,4-Sep-18,5,Great fan moves lots of air and it was a breeze to assemble and install.   I liked it so much I bought a second one.
11,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Easy to put together. ...,15-Oct-19,5,Easy to put together.
